Symbol,Meaning,Role
<,EMT-B,BASIC
0,Driver,DRIVER
%,EMT-P,ALS
=,AEMT,ALS
*,Firefighter,FIRE
$,Officer,OFFICER
!,Captain,OFFICER
#,HazMat,HZ
@,Rescue Tech,TECH
,120 Ambulance Operator,AMB120_Op
,121 Ambulance Operator,AMB121_Op
,122 Heavy Rescue Operator,RES122_Op
,125 Ladder Operator,LAD125_Op
,126 Engine Operator,ENG126_Op
,127 Brush Operator,BR127_Op
,129 Engine Tanker Operator,ET129_Op
,130 Tanker Operator,TNK130_Op
,131 Ambulance Operator,AMB131_Op
,135 High Water Operator,HW135_Op
,138 Tanker Operator,TNK138_Op
,139 High Water Operator,HW139_Op
,124 Engine Operator,ENG124_Op
,Gator 1 (ATV) Operator,GATOR1_Op
,ATV 1 (ATV) Operator,ATV1_Op
,Pumper 1 (Engine) Operator,PUMP1_Op
,Van 1 (Support) Operator,VAN1_Op
,Boat 3 Operator,BOAT3_Op
,Foam 1 Operator,FOAM1_Op
,QRV102 Operator,QRV102_Op
,Command Trailer Operator,CMDTRLR_Op
,LDH Hose Trailer Operator,LDHTRLR_Op
,Light Tower Trailer Operator,LTTRLR_Op
